PCM-SEM MCMC 진단 리포트
N=86, scenario=medium, elapsed=57.8s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s    R_hat
theta[12,1]        -0.041814  0.005202   0.500312   0.476736    -0.859841    -0.059323     0.806369   9634.120  2677.210    81.97570  1.001100
theta[12,2]         0.058800  0.003327   0.320186   0.308626    -0.481302     0.062635     0.588787   9585.090  2594.030    81.55860  1.001040
theta[12,3]        -1.283600  0.004459   0.444627   0.439825    -2.031750    -1.265110    -0.588590  10614.800  3008.340    90.32050  1.000570
theta[13,1]        -0.894220  0.005280   0.476675   0.459843    -1.689740    -0.888444    -0.084946   8269.650  2824.640    70.36570  1.001340
theta[13,2]        -1.613320  0.004037   0.389192   0.396018    -2.278630    -1.608580    -0.978971   9891.460  2891.560    84.16540  1.000030
theta[13,3]        -2.467350  0.006288   0.605185   0.593097    -3.507890    -2.435080    -1.513310  10249.700  3146.960    87.21330  1.000280
theta[14,1]         0.240050  0.005786   0.513274   0.522017    -0.573284     0.227505     1.107440   7969.030  2752.340    67.80770  1.002130
theta[14,2]        -0.949811  0.003685   0.347729   0.332498    -1.524200    -0.947604    -0.369757   9286.870  2632.220    79.02110  1.001900
theta[14,3]        -0.471569  0.003837   0.395546   0.393013    -1.127960    -0.463986     0.171021  11243.100  2855.460    95.66650  1.000540
theta[15,1]         0.282130  0.005526   0.500473   0.496136    -0.532570     0.278026     1.127890   8410.990  3041.320    71.56830  1.002270
theta[15,2]         0.093696  0.003169   0.326807   0.332221    -0.444362     0.089289     0.632932  10961.600  2688.680    93.27160  1.002880
theta[15,3]        -0.281563  0.003777   0.402915   0.404154    -0.957874    -0.275883     0.373906  11953.400  2417.450   101.71000  1.003010
theta[16,1]        -0.136010  0.005437   0.495440   0.497290    -0.943690    -0.141065     0.691349   8525.460  2760.230    72.54230  1.000610
theta[16,2]        -0.181056  0.003194   0.339231   0.336018    -0.732771    -0.173262     0.373300  11653.700  3157.670    99.15990  0.999866
theta[16,3]        -2.276890  0.005672   0.559680   0.553394    -3.237720    -2.247640    -1.400460  10617.600  2878.830    90.34440  1.001690
theta[17,1]         0.480633  0.005865   0.522679   0.527799    -0.340960     0.474472     1.346690   7753.500  2567.820    65.97380  0.999821
theta[17,2]        -0.433609  0.003230   0.332721   0.333658    -0.985081    -0.430242     0.111902  11073.800  2885.150    94.22560  1.001840
theta[17,3]        -0.437263  0.004001   0.395190   0.403443    -1.092180    -0.434981     0.201732   9942.280  3059.090    84.59790  1.001800
theta[18,1]         0.953777  0.006214   0.571596   0.568020     0.050750     0.935699     1.905320   9669.160  3002.040    82.27390  1.002870
theta[18,2]        -0.760152  0.003181   0.334480   0.329089    -1.330730    -0.752400    -0.213765  11433.200  2317.670    97.28430  1.001780
theta[18,3]        -1.276070  0.004788   0.445795   0.448900    -2.033030    -1.268730    -0.571579   9017.280  2603.550    76.72720  1.001180
theta[19,1]        -0.769754  0.005640   0.499688   0.482641    -1.612490    -0.766748     0.044684   8053.470  2576.550    68.52620  1.000730
theta[19,2]         0.405167  0.002964   0.325179   0.320632    -0.126369     0.408667     0.937496  12184.800  2379.990   103.67900  1.001960
theta[19,3]        -0.484444  0.004310   0.396396   0.397308    -1.133530    -0.479070     0.155100   9057.430  2773.520    77.06880  1.002260
theta[20,1]         1.452100  0.007079   0.644487   0.623432     0.432643     1.424440     2.575770   9067.000  2694.130    77.15020  1.001020
theta[20,2]         0.327462  0.003397   0.329280   0.320862    -0.215308     0.325857     0.865978   9687.300  2677.060    82.42830  1.000750
theta[20,3]        -1.010600  0.004405   0.422096   0.409787    -1.740420    -0.994288    -0.342677   9437.540  2838.120    80.30310  1.000010
theta[21,1]        -2.127050  0.005975   0.538744   0.526675    -3.037020    -2.105870    -1.271510   8551.580  3069.030    72.76450  0.999601
theta[21,2]        -0.467366  0.003073   0.325265   0.323424    -0.991093    -0.468135     0.077726  11330.800  2622.090    96.41220  1.002080
theta[21,3]        -2.510690  0.007129   0.616547   0.622306    -3.578410    -2.481020    -1.566630   7916.060  3115.290    67.35690  1.002320
theta[22,1]        -0.299227  0.005616   0.485846   0.482377    -1.073760    -0.307661     0.522308   7843.710  2911.480    66.74130  1.001500
theta[22,2]        -0.994400  0.003830   0.351593   0.351934    -1.585520    -0.989777    -0.425179   9088.700  2541.600    77.33490  1.002370
theta[22,3]        -1.370910  0.004706   0.472368   0.449661    -2.170770    -1.354960    -0.620624  10385.000  3030.470    88.36520  0.999801
theta[23,1]        -1.381410  0.005191   0.467846   0.456442    -2.145030    -1.385970    -0.615012   8294.920  3111.840    70.58060  1.001600
theta[23,2]        -3.140640  0.005536   0.544225   0.545474    -4.064090    -3.108330    -2.277520  10437.800  3150.820    88.81400  1.000040
theta[23,3]        -2.000630  0.006005   0.534420   0.516262    -2.930730    -1.970480    -1.179960   8902.390  2725.640    75.74960  1.000280
theta[24,1]         0.039134  0.005508   0.517164   0.504256    -0.795036     0.034524     0.888493   9121.490  3197.280    77.61390  1.001120
theta[24,2]         2.164350  0.004417   0.431463   0.417468     1.470300     2.147210     2.924410  10296.000  2641.320    87.60730  1.001820
theta[24,3]         0.571530  0.004242   0.416389   0.405876    -0.097009     0.557182     1.282000   9968.130  2774.560    84.81780  1.001530
theta[25,1]        -0.567815  0.004871   0.462469   0.462726    -1.327930    -0.572653     0.220706   9236.080  2770.990    78.58890  1.004590
theta[25,2]        -0.830744  0.003108   0.346509   0.346719    -1.412290    -0.826257    -0.272545  12883.900  2937.860   109.62800  1.001600
theta[25,3]        -1.569890  0.004819   0.463662   0.460899    -2.355920    -1.548750    -0.827103   9890.950  2650.750    84.16110  1.003400
theta[26,1]        -1.625530  0.005704   0.487530   0.476753    -2.451710    -1.605160    -0.853846   7649.740  2764.330    65.09080  1.001500
theta[26,2]        -1.221320  0.003644   0.369107   0.370572    -1.840520    -1.218380    -0.620897  10836.900  2847.310    92.20980  1.000590
