PCM-SEM MCMC 진단 리포트
N=200, scenario=medium, elapsed=189.7s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
theta[14,3]        -2.527330  0.007560   0.615308   0.602010    -3.607250    -2.496220    -1.585670   7727.300  2835.710   22.578300  1.000690
theta[15,1]         0.988423  0.006405   0.563405   0.558762     0.094418     0.959872     1.941040   8188.900  2835.100   23.927100  1.003020
theta[15,2]         1.186510  0.003894   0.349967   0.342442     0.610860     1.179870     1.781750   8309.050  2388.500   24.278100  1.000490
theta[15,3]        -0.990068  0.004539   0.426732   0.425997    -1.702400    -0.982107    -0.310771   9328.820  2575.770   27.257800  1.001020
theta[16,1]         1.051130  0.006241   0.558826   0.552369     0.181155     1.021150     2.007600   8240.180  3034.260   24.076900  1.001650
theta[16,2]        -0.322548  0.003379   0.311283   0.313496    -0.831709    -0.322404     0.182130   8688.460  2282.050   25.386700  0.999402
theta[16,3]         0.341286  0.004249   0.399607   0.399793    -0.311929     0.339268     1.000960   8935.210  3049.610   26.107700  1.003440
theta[17,1]         0.136824  0.005528   0.481978   0.487477    -0.646662     0.126249     0.940261   7690.230  3178.680   22.470000  0.999748
theta[17,2]         0.712579  0.003740   0.321722   0.329166     0.196325     0.705379     1.240310   7479.860  2947.840   21.855300  1.002630
theta[17,3]        -0.858360  0.004279   0.419979   0.424083    -1.547760    -0.849339    -0.181989   9903.940  2931.770   28.938200  1.001580
theta[18,1]         0.118233  0.005298   0.469017   0.476213    -0.645185     0.117026     0.901539   8036.790  2992.810   23.482600  1.000960
theta[18,2]        -1.109300  0.003841   0.332190   0.335814    -1.666440    -1.102330    -0.580811   7640.200  2994.970   22.323800  1.001200
theta[18,3]        -0.824015  0.004422   0.423825   0.435598    -1.523870    -0.814515    -0.143514   9501.830  2876.520   27.763300  1.000050
theta[19,1]         0.631036  0.005835   0.521906   0.517667    -0.223544     0.625533     1.497090   8177.680  2741.320   23.894300  1.000010
theta[19,2]         0.487918  0.003359   0.318841   0.319958    -0.035203     0.484632     1.017880   9195.810  2616.000   26.869200  1.002560
theta[19,3]         0.390886  0.004370   0.397417   0.397758    -0.245114     0.384911     1.044060   8519.630  2672.830   24.893400  1.000940
theta[20,1]        -0.518867  0.005726   0.462133   0.454402    -1.253510    -0.520922     0.237772   6663.440  2583.210   19.469900  0.999766
theta[20,2]         0.834300  0.003364   0.321410   0.316725     0.311003     0.826263     1.377960   9499.330  3059.860   27.756000  1.003190
theta[20,3]        -1.888150  0.005871   0.504044   0.504547    -2.743920    -1.871430    -1.095160   7690.500  2858.510   22.470800  0.999606
theta[21,1]         1.367640  0.007436   0.596079   0.606151     0.433543     1.341640     2.405880   6586.210  3031.770   19.244200  1.001240
theta[21,2]        -0.481768  0.003402   0.312655   0.312939    -0.994084    -0.477025     0.020104   8903.100  3040.440   26.013900  1.001300
theta[21,3]         0.488806  0.004128   0.397919   0.401796    -0.146385     0.482930     1.153560   9624.080  2496.600   28.120500  1.000590
theta[22,1]         0.841061  0.006397   0.533383   0.551285    -0.008865     0.819734     1.737780   7128.520  3018.450   20.828800  1.001700
theta[22,2]         0.263559  0.003391   0.311351   0.304394    -0.253741     0.263060     0.776837   8573.050  2477.370   25.049500  1.003900
theta[22,3]        -0.725805  0.004567   0.407555   0.400758    -1.401200    -0.720687    -0.077715   8257.020  2744.140   24.126100  1.000090
theta[23,1]        -0.845359  0.005516   0.459189   0.477939    -1.588190    -0.849863    -0.087762   7082.310  3036.150   20.693800  1.000980
theta[23,2]        -0.207782  0.003148   0.301517   0.299645    -0.705844    -0.207556     0.294315   9578.410  2999.370   27.987100  0.999937
theta[23,3]        -1.326150  0.005289   0.456731   0.436366    -2.093060    -1.309980    -0.589024   7876.080  2766.470   23.013100  1.002070
theta[24,1]         0.598126  0.006105   0.523143   0.511823    -0.261844     0.582174     1.469050   7467.770  3037.200   21.820000  1.000140
theta[24,2]         0.558137  0.003170   0.321848   0.321285     0.041772     0.555194     1.086910  10615.400  2675.350   31.017100  1.000350
theta[24,3]        -0.375739  0.004155   0.380388   0.369961    -1.004150    -0.367756     0.237960   8646.440  3039.910   25.264000  1.000050
theta[25,1]         0.145864  0.006048   0.491081   0.497927    -0.653252     0.141576     0.971721   6919.270  2979.300   20.217300  1.000640
theta[25,2]        -0.834470  0.003382   0.309379   0.311209    -1.351430    -0.831550    -0.320504   8472.120  3042.590   24.754600  0.999968
theta[25,3]        -1.571120  0.005098   0.481510   0.474989    -2.399030    -1.548400    -0.811281   9747.280  2633.880   28.480500  1.000700
theta[26,1]         0.597169  0.005611   0.519139   0.515664    -0.227055     0.585790     1.462830   8863.300  2716.770   25.897600  1.000800
theta[26,2]         0.402673  0.003675   0.316273   0.317296    -0.107614     0.400895     0.920423   7522.200  3023.410   21.979100  1.002630
theta[26,3]         0.390415  0.004681   0.399949   0.395336    -0.260535     0.383618     1.048170   7582.150  2884.030   22.154200  1.004530
theta[27,1]         0.144402  0.005553   0.476396   0.469321    -0.618147     0.135380     0.934937   7752.330  2690.340   22.651500  1.001880
theta[27,2]        -1.005870  0.003475   0.326982   0.328916    -1.550210    -0.996271    -0.490610   9257.730  2579.090   27.050100  1.002890
theta[27,3]        -0.822996  0.004560   0.408994   0.415461    -1.520530    -0.808615    -0.174089   8233.980  2711.160   24.058800  1.001270
theta[28,1]        -0.864479  0.005430   0.474868   0.470965    -1.636560    -0.868702    -0.081564   7740.010  2780.120   22.615500  1.002860
theta[28,2]        -0.604782  0.003395   0.309577   0.309136    -1.115560    -0.605725    -0.092052   8548.470  2796.000   24.977700  1.003760
theta[28,3]         0.450635  0.003941   0.395665   0.398238    -0.192027     0.441207     1.122560  10238.500  2909.870   29.915700  1.001050
theta[29,1]         0.570094  0.006198   0.511312   0.514987    -0.240270     0.554258     1.410680   7020.800  2695.080   20.514000  1.000630
theta[29,2]         0.327494  0.003070   0.304885   0.294768    -0.181597     0.332117     0.832382  10048.500  2915.260   29.360500  1.000530
theta[29,3]        -1.250740  0.004883   0.440391   0.430545    -2.009830    -1.227810    -0.562264   8669.400  2929.360   25.331100  1.000160
theta[30,1]         0.237518  0.005242   0.486228   0.470715    -0.567766     0.233846     1.055980   8684.170  2871.660   25.374200  1.000710
theta[30,2]        -0.389899  0.003555   0.309192   0.313091    -0.902493    -0.387617     0.109579   7760.670  2825.410   22.675800  1.001810
theta[30,3]        -0.297417  0.004294   0.399351   0.402863    -0.957173    -0.300777     0.347801   8867.510  3067.170   25.909900  1.000120
theta[31,1]        -0.352523  0.005600   0.473225   0.462714    -1.141140    -0.351432     0.441753   7351.670  2592.830   21.480800  0.999989
theta[31,2]        -0.068296  0.003792   0.299558   0.285824    -0.548336    -0.071237     0.429527   6333.330  2802.890   18.505300  1.001500
theta[31,3]         1.640630  0.005394   0.489488   0.476799     0.876993     1.619180     2.481690   9067.220  2997.230   26.493400  1.000030
theta[32,1]        -1.499510  0.005520   0.469950   0.473623    -2.276420    -1.495620    -0.730738   7374.770  2950.830   21.548300  1.000320
theta[32,2]        -1.998440  0.004647   0.420772   0.422148    -2.701720    -1.987430    -1.332840   8691.030  2913.530   25.394200  1.002150
theta[32,3]        -2.636050  0.007849   0.640962   0.653385    -3.748360    -2.598730    -1.650040   6966.670  2744.820   20.355900  1.000300
theta[33,1]         0.224903  0.005844   0.492255   0.492044    -0.566641     0.220268     1.042860   7329.700  2897.300   21.416600  1.001320
theta[33,2]        -1.832230  0.004273   0.385937   0.381828    -2.483800    -1.822460    -1.211880   8605.220  2801.000   25.143500  1.001380
theta[33,3]        -2.561190  0.007489   0.607532   0.612812    -3.587260    -2.518330    -1.630590   7056.350  2799.670   20.617900  1.001040
theta[34,1]        -0.138952  0.005431   0.475030   0.470910    -0.922739    -0.132601     0.628047   7802.440  2490.740   22.797900  1.001560
theta[34,2]         0.165398  0.003513   0.314253   0.317929    -0.343551     0.165450     0.671195   8049.180  3295.570   23.518800  1.002410
theta[34,3]         0.198498  0.004460   0.393734   0.377534    -0.452756     0.198573     0.861619   7964.550  3012.540   23.271600  1.001980
theta[35,1]        -0.706141  0.005561   0.471895   0.475529    -1.458350    -0.710037     0.057513   7303.980  2650.990   21.341400  1.000480
