lp__,b1,b2,g1,gamma_M,gamma_Y,alpha_M,alpha_Y,indirect_effect,total_effect,prop_mediated
-578.24861,0.94983462,0.89868122,-0.13909323,0.18493152,0.3963932,-6.299703,-2.2672302,0.85359854,0.71450531,1.1946707
-581.19444,0.57554818,0.81409217,0.17866811,0.18116261,-0.23720068,-5.7472937,-3.0308068,0.46854927,0.64721738,0.7239442
-589.80772,0.72452916,1.0161265,0.10756185,0.15600296,0.57167296,-6.4532518,-1.223269,0.73621325,0.8437751,0.87252308
-582.58238,0.84709645,0.88917286,0.17372549,0.26201096,-0.41019043,-6.3999307,-1.1662807,0.75321517,0.92694066,0.81258187
-599.83008,0.90630045,0.64816207,0.44704134,-0.014660878,0.3117078,-5.6876775,-2.6784812,0.58742957,1.0344709,0.56785509
-599.73552,0.8168869,1.1447214,0.079296626,0.40853427,-0.13149729,-5.8830369,0.055646914,0.93510789,1.0144045,0.92182938
-601.71022,0.91181379,0.81588243,0.47199695,0.38855546,0.42095821,-5.3464482,-1.7489327,0.74393285,1.2159298,0.6118222
-586.3461,0.55713963,0.83696043,0.17918385,-0.026579889,-0.20048673,-6.5491139,-1.3967037,0.46630382,0.64548767,0.72240546
-580.9155,0.80430275,0.85295697,0.33884992,0.36552731,-0.15148317,-5.7963054,-1.3002643,0.68603564,1.0248856,0.6693778
-582.3651,0.50550542,0.78030972,0.099647364,0.082388819,0.14272984,-6.6163699,-1.7965459,0.39445079,0.49409816,0.79832476
-584.41511,1.1408368,1.0353538,0.52460907,0.47624751,0.19806415,-4.8663128,-0.14147397,1.1811697,1.7057787,0.69245186
-575.70539,0.46359381,0.91282191,0.45087586,0.21767784,0.57243007,-6.6310871,-0.85595352,0.42317859,0.87405445,0.48415586
-594.24471,0.75731012,0.84288463,0.51097868,0.50264766,-0.2624327,-6.0409349,-1.3906102,0.63832506,1.1493037,0.55540153
-602.75991,0.77079446,0.88385319,-0.11074047,-0.043512227,0.30232212,-5.145708,-3.244057,0.68126914,0.57052867,1.1941015
-589.57943,0.6672987,0.97528139,0.3955503,0.42386936,-0.066919043,-5.3072125,-1.4866389,0.650804,1.0463543,0.62197288
-568.72663,0.69176665,0.8756934,-0.079599454,-0.11215235,0.29519574,-5.483133,-3.0893409,0.60577548,0.52617603,1.1512791
-577.28983,0.60211359,0.90005612,-0.019008957,-0.077528848,0.23525339,-5.7683411,-2.8914274,0.54193602,0.52292707,1.0363511
-589.53592,0.53797804,0.9830801,0.3217654,0.16120129,-0.056417314,-6.3100501,-1.1967615,0.5288755,0.8506409,0.62173769
-571.55529,0.38303401,0.94138935,0.17849855,0.034643699,0.43119054,-6.3522194,-1.8017378,0.36058414,0.53908269,0.66888466
-577.16367,0.74177402,0.86722466,0.27986552,0.36547495,-0.33059076,-6.0113811,-2.0446505,0.64328472,0.92315024,0.69683644
-574.19939,0.44557931,0.82280659,0.1806243,0.027250284,0.4887932,-6.9907031,-2.8753359,0.3666256,0.5472499,0.66994183
-589.72575,0.72574935,0.90503173,0.47935414,-0.097146152,0.21803483,-5.7276379,-2.6199913,0.65682619,1.1361803,0.5781003
-582.08624,0.77386827,0.83445123,0.64729116,0.20480736,0.086741095,-5.72498,-2.8185227,0.64575533,1.2930465,0.49940612
-590.0091,0.62028708,1.0946244,0.12601291,0.16595019,0.12896361,-6.3511665,-1.922142,0.67898137,0.80499427,0.84346111
-582.52609,0.91114822,0.82697189,0.45309199,0.22374791,0.048382548,-6.1152784,-2.4963684,0.75349396,1.2065859,0.62448428
-592.61999,0.82078663,0.89763293,0.21132008,0.1156835,-0.022764831,-5.8545659,-2.8694647,0.73676511,0.94808518,0.77710855
-583.69675,0.80898893,0.99008722,0.41449459,-0.0022462311,0.032267272,-6.0839157,-1.8194402,0.8009696,1.2154642,0.65898247
-561.18724,0.66264388,0.99929941,0.28874933,0.10966828,0.2740534,-6.319229,-1.9165041,0.66217964,0.95092897,0.69635026
-579.72492,0.73689204,1.0103518,0.33449084,0.46666523,0.34215276,-6.0267401,-1.5676815,0.74452023,1.0790111,0.6900024
-597.90429,0.69329583,0.96758974,0.33226156,0.63654108,0.3300262,-5.9386294,-1.8373323,0.67082593,1.0030875,0.66876114
-593.40708,0.68991736,0.90656917,0.23314637,-0.22995839,-0.13676989,-6.3025441,-2.3433903,0.62545781,0.85860418,0.72845885
-575.21783,0.56586997,0.90576072,0.0014379431,0.01865051,0.11130898,-6.5359507,-2.8493934,0.5125428,0.51398074,0.99720234
-581.88935,0.6576904,0.92257849,0.13660505,0.39351174,0.16318819,-6.5821514,-2.3007023,0.60677101,0.74337607,0.81623695
-577.28266,0.63173119,0.98948545,0.10894208,0.35570757,0.15711593,-6.3051767,-2.0970534,0.62508882,0.7340309,0.85158379
-577.35211,0.70911881,0.86819649,0.36570184,0.24887936,0.051576037,-6.3251384,-2.2073928,0.61565446,0.9813563,0.6273506
-569.28963,0.73697765,0.72840137,0.50733597,0.14632217,0.019691245,-6.4747951,-2.3331616,0.53681554,1.0441515,0.51411652
-579.53284,0.753156,0.68464794,0.61890217,0.0044959963,-0.17610408,-6.6402964,-2.3726708,0.5156467,1.1345489,0.45449492
-565.93284,0.46036865,0.69251647,0.41550002,0.16828447,-0.030042804,-7.1704632,-3.0441393,0.31881287,0.73431289,0.43416488
-585.97214,0.77093525,0.84929597,-0.055273037,0.32098445,0.25155591,-6.5190878,-3.1047426,0.6547522,0.59947917,1.0922018
-591.08188,0.89483497,0.86892153,0.54903026,0.077669641,-0.045549561,-6.2144473,-1.3433499,0.77754137,1.3265716,0.58612845
-592.57821,0.5451464,0.95088667,-0.32977955,0.27834128,0.25722206,-6.4629031,-1.3634268,0.51837245,0.1885929,2.7486318
-567.01799,0.89841593,0.81970326,0.2840155,0.042619715,0.016349086,-5.8382954,-0.91779844,0.73643447,1.02045,0.72167621
-589.9751,0.72171751,0.866539,0.29995513,0.53487226,-0.003791249,-6.1002925,-0.33380069,0.62539637,0.92535149,0.67584736
-570.72613,0.71211401,0.78027689,0.35147104,0.073761489,0.0918172,-5.8688591,-1.2580157,0.55564611,0.90711715,0.61254063
-584.06719,0.69877949,0.76881546,0.33366497,0.16621376,-0.065222774,-5.8929862,-1.2392907,0.53723247,0.87089745,0.61687226
-584.82432,0.69032772,0.72675849,0.43403372,0.067893643,-0.082059908,-5.9126929,-1.427977,0.50170154,0.93573526,0.53615756
-603.69971,0.81537304,0.98950995,0.18930464,0.43636314,-0.074261731,-5.3082068,0.065253576,0.80681974,0.99612438,0.80995884
-602.37865,0.74987808,1.0060485,0.17483366,0.3961559,-0.057332513,-5.3564553,0.069359288,0.75441371,0.92924737,0.81185455
-578.32055,0.70713427,1.0359311,0.03162897,0.37273673,-0.15733214,-5.6051206,-0.13577843,0.73254235,0.76417132,0.95861011
-584.24191,0.51159118,0.97522271,0.22350471,-0.075496227,0.17749601,-6.1631192,-0.065452042,0.49891534,0.72242005,0.69061669
-576.28556,0.64097656,0.7500949,0.30704988,0.56701112,-0.0019185651,-6.0600505,-2.2870803,0.48079325,0.78784313,0.61026521
-588.02258,0.75312897,0.77726867,0.30314909,0.38208313,-0.25267987,-5.8545694,-1.9767121,0.58538355,0.88853264,0.65882053
-572.70291,0.55977346,0.98001908,0.1139422,0.04891546,0.4311679,-6.4396508,-1.1863005,0.54858867,0.66253087,0.82801979
-575.98353,0.52161089,1.0303382,0.36599173,0.2622768,-0.17133391,-6.2821724,-0.25580828,0.53743561,0.90342734,0.59488526
-566.78246,0.8168149,0.88129787,0.12115281,0.41026669,0.21992498,-5.6385593,-1.8205085,0.71985723,0.84101004,0.85594368
-575.78992,0.67377414,0.81056467,0.11936141,-0.076121704,0.0041654685,-6.2122414,-1.9143998,0.54613751,0.66549893,0.82064372
-557.32453,0.78760797,0.84936858,0.16760502,-0.27252641,0.083289187,-5.9929193,-1.8760803,0.66896946,0.83657448,0.7996532
-566.69855,0.4979321,0.91141542,0.40723202,0.37122472,-0.19343263,-5.9074553,-1.1012171,0.453823,0.86105502,0.52705459
-567.50167,1.0388968,0.8124588,0.45555562,-0.0042283703,0.39237359,-5.8549799,-2.0679573,0.84406083,1.2996165,0.64946918
-560.15459,0.89682357,0.76991054,0.47809962,0.097429667,0.049690572,-6.198834,-2.3297584,0.69047392,1.1685735,0.59086903
-581.80714,0.7910024,1.007888,0.40556685,0.30113478,0.1439857,-6.3541763,-0.58323841,0.79724184,1.2028087,0.66281683
-574.64694,0.77073811,1.0581208,-0.076415082,0.098640234,0.065744927,-6.1960575,-1.0634439,0.81553406,0.73911898,1.1033867
-602.65049,0.54217621,0.82630446,0.47672425,0.49361658,0.50110841,-6.382866,-2.0441957,0.44800262,0.92472687,0.48447021
-553.36099,0.45344568,0.98353868,0.58867109,0.070751772,0.16955472,-6.1928298,-0.63790157,0.44598137,1.0346525,0.43104461
-557.23942,0.84161053,0.8273122,0.27420812,0.35394173,0.017386279,-5.504143,-2.5013084,0.69627466,0.97048278,0.71745184
-560.10983,0.53588664,0.77813725,0.2817408,0.036700727,0.16198772,-6.1361429,-1.9413299,0.41699336,0.69873415,0.59678399
-564.23668,0.90179823,0.90742217,0.34753643,0.3350865,0.031252358,-5.8245142,-1.6617014,0.81831171,1.1658481,0.70190249
-586.88036,0.98007073,1.00663,0.22416247,0.13722222,0.22980751,-5.5702838,-1.2071707,0.98656864,1.2107311,0.81485363
-598.82034,1.3365617,0.76192713,0.20871748,0.62155316,0.10270638,-6.1714916,-2.8477124,1.0183626,1.2270801,0.82990721
-600.81237,0.93399235,1.0659936,0.19931989,-0.22546792,0.1442213,-6.3769577,-1.3456129,0.99562989,1.1949498,0.8331981
-595.31158,0.80974184,1.1153898,0.27467906,-0.274933,0.1596448,-6.3621842,-0.64728115,0.90317783,1.1778569,0.76679759
-558.34153,1.0198519,0.81407744,0.25961577,0.30795906,-0.05087605,-6.2246158,-2.9358825,0.8302384,1.0898542,0.76178853
-569.65907,0.59962317,0.9453926,0.4133659,0.10592789,0.38935284,-7.2730152,-1.9912559,0.56687931,0.98024521,0.57830357
-583.11565,0.61049972,0.85149373,0.57859332,-0.17624143,0.32102792,-7.2548884,-2.6851385,0.51983668,1.09843,0.47325426
-588.77489,0.9327308,0.96555972,0.17364532,0.55047868,-0.064339023,-6.6764221,-1.5348477,0.90060728,1.0742526,0.83835708
-571.952,0.77873739,1.0096589,0.22771261,0.46179524,0.063331956,-6.7755476,-1.2258057,0.78625918,1.0139718,0.7754251
-584.22108,0.8339403,0.91443327,0.32547516,0.065896563,-0.07361428,-6.743486,-1.9474067,0.76258276,1.0880579,0.70086596
-589.42093,1.0752098,1.0228015,-0.082078953,0.3358748,0.27517597,-5.3471668,-2.3391103,1.0997262,1.0176473,1.0806556
-596.07238,0.87633304,0.99391473,-0.067157588,0.41167839,0.21730151,-5.5472798,-3.0230863,0.87100032,0.80384273,1.0835457
