N,scenario,beta1,beta2,gamma1,b1_comp,b1_comp_lo,b1_comp_hi,b2_comp,b2_comp_lo,b2_comp_hi,g1_comp,g1_comp_lo,g1_comp_hi,ind_comp,ind_comp_lo,ind_comp_hi,tot_comp,b1_oracle,b1_oracle_lo,b1_oracle_hi,b2_oracle,b2_oracle_lo,b2_oracle_hi,g1_oracle,g1_oracle_lo,g1_oracle_hi,ind_oracle,ind_oracle_lo,ind_oracle_hi,tot_oracle,b1_comp_cov,b1_comp_sig,b1_oracle_cov,b1_oracle_sig,b2_comp_cov,b2_comp_sig,b2_oracle_cov,b2_oracle_sig,g1_comp_cov,g1_comp_sig,g1_oracle_cov,g1_oracle_sig,ind_comp_cov,ind_comp_sig,ind_oracle_cov,ind_oracle_sig
50,small,0.3,0.3,0.0,0.20311324513730256,-0.052947036926575486,0.4591735272011806,0.20682918547937446,-0.10411964376262545,0.5177780147213744,0.15656447208425917,-0.1290064186473302,0.44213536281584853,0.042009747051820805,-0.040414465975884266,0.12443396007952587,0.19857421913607998,0.27009457872170806,0.027640067572781257,0.5125490898706349,0.18306935250234796,-0.12290920378077974,0.48904790878547566,0.3700013896768057,0.09767266896865112,0.6423301103849602,0.049446039640977546,-0.044362308921552934,0.14325438820350803,0.4194474293177832,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0
50,small,0.3,0.3,0.0,0.23048361058907055,-0.0048731103175652934,0.46584033149570636,0.22172186210913125,-0.05976701259931383,0.5032107368175763,0.015991029125171252,-0.22464902395415445,0.25663108220449693,0.0511032553254446,-0.03215760492137322,0.1343641155722624,0.06709428445061585,0.1680454617262593,-0.11485603708044703,0.4509469605329657,0.2794981171332542,0.01709083693432989,0.5419053973321785,0.21275003695115874,-0.05062701717192519,0.47612709107424267,0.04696839014527781,-0.043566808523990454,0.13750358881454608,0.25971842709643655,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.20069910443191155,-0.0935888148764891,0.4949870237403122,0.3508363828790815,0.05934739351842483,0.6423253722397382,-0.13253248422915576,-0.438228204082682,0.17316323562437047,0.07041254784596288,-0.048256567786892454,0.18908166347881822,-0.06211993638319288,0.10760923959105048,-0.24113873474531153,0.45635721392741246,0.3743522160972234,0.1266572548711253,0.6220471773233215,-0.12245920951105024,-0.4257819822052552,0.18086356318315475,0.04028375731344682,-0.09296393500468192,0.17353144963157557,-0.08217545219760342,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.08549751267962813,-0.18704126027854673,0.358036285637803,0.39436843781199693,0.09069141606568065,0.6980454595583132,0.2086466899074093,-0.08200496517171835,0.49929834498653697,0.03371752051227635,-0.07685466783320201,0.14428970885775472,0.24236421041968564,0.26940155789923403,0.016257354982043004,0.522545760816425,0.4169119310221654,0.11089153199414081,0.72293233005019,0.09493957802525138,-0.18828843555586333,0.3781675916063661,0.11231672372414936,-0.021605608865779696,0.24623905631407841,0.20725630174940074,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.473994155256354,0.1930984741347596,0.7548898363779484,0.0800074677599314,-0.21566201486276693,0.3756769503826297,0.2752039337625938,-0.04733346591794757,0.5977413334431352,0.03792307209506866,-0.10401304240467478,0.1798591865948121,0.31312700585766245,0.4207562407773656,0.1560639046942507,0.6854485768604806,0.1904654050695,-0.17831851383384212,0.5592493239728421,0.23677916541170907,-0.13825952927294655,0.6118178600963646,0.08013950783518102,-0.08301316772027904,0.24329218339064107,0.3169186732468901,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,-0.0038108532542303853,-0.2934501227649313,0.2858284162564706,0.5511519942524724,0.2502485996991511,0.8520553888057938,0.12423471637663042,-0.18061125547962326,0.4290806882328841,-0.0021003593708726013,-0.16173973882934745,0.15753902008760223,0.12213435700575781,0.11871914949230189,-0.13770621849486175,0.37514451747946553,0.6729724915410585,0.34607818024533804,0.999866802836779,0.05833067701883041,-0.2374247231267627,0.35408607716442353,0.0798947218274698,-0.09698250556053693,0.2567719492154765,0.1382253988463002,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.38685488424618675,0.03948547967840038,0.7342242888139732,-0.015376361167162678,-0.3221105445978586,0.29135782226353324,-0.03844081353499362,-0.4295644334828333,0.35268280641284605,-0.005948420419450279,-0.1247301892208955,0.11283334838199495,-0.0443892339544439,0.4685718005878074,0.12155018267651563,0.8155934184990992,0.10093453113002321,-0.18282253865157494,0.38469160091162136,0.0011684670872393818,-0.3680304800509363,0.3703674142254151,0.047295074993081075,-0.09020170320058696,0.18479185318674912,0.04846354208032046,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.13088493846455126,-0.19096521585306078,0.4527350927821633,0.3169623291959467,0.027390533509028203,0.6065341248828652,-0.14541214310632,-0.4735968931496737,0.18277260693703368,0.041485594952392325,-0.0673417319785844,0.15031292188336903,-0.10392654815392768,0.3982544847462441,0.08903996572864342,0.7074690037638447,0.5435508773016815,0.22520727415683378,0.8618944804465292,-0.28673557126782606,-0.6536450566364731,0.08017391410082092,0.2164715745731501,0.005942653487468447,0.4270004956588318,-0.07026399669467595,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
50,small,0.3,0.3,0.0,0.27209904425205145,0.019728805917535175,0.5244692825865678,0.38998466490525274,0.03478396473869061,0.7451853650718149,-0.03406850113863946,-0.3621750034299429,0.294038001152664,0.10611445459367583,-0.0318267559079381,0.24405566509528975,0.07204595345503637,0.2733059425773659,0.021354935434729272,0.5252569497200026,0.3776891604163593,0.03542310408406013,0.7199552167486585,0.06459546743497502,-0.25120555024914093,0.38039648511909097,0.10322469198884704,-0.03021302514657015,0.23666240912426423,0.16782015942382206,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0
50,small,0.3,0.3,0.0,0.43034593109205577,0.156161150306955,0.7045307118771565,0.1041591921481464,-0.18262112380715345,0.39093950810344624,-0.17306247955262677,-0.4745166315183894,0.12839167241313587,0.04482448452679041,-0.08185150905559777,0.1715004781091786,-0.12823799502583635,0.49459065522617357,0.2360683054588416,0.7531130049935055,-0.01754122587361783,-0.30130277103177056,0.2662203192845349,0.06936000806677901,-0.2231067748085938,0.3618267909421518,-0.008675726398302951,-0.1490947791591962,0.1317433263625903,0.06068428166847606,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0
